letter	frequency	color
Centrum-West	15938	"red"
Centrum-Oost	12064	"orange"
Westerpark	12134	"orange"
Bos en Lommer	10423	"orange"
Oud-West/De Baarsjes	23316	"red"
Geuzenveld/Slotermeer	3135	"green"
Osdorp	4433	"green"
De Aker/Nieuw Sloten	4598	"green"
Slotervaart	7036	"orange"
Oud-Zuid	11011	"orange"
Buitenveldert/Zuidas	3343	"green"
De Pijp/Rivierenbuurt	17439	"red"
Oud-Oost	16511	"red"
Indische Buurt/Oostelijk Havengebied	14235	"red"
Watergraafsmeer	3823	"green"
IJburg/Zeeburgereiland	4955	"green"
Noord-West	5172	"green"
Oud-Noord	4084	"green"
Noord-Oost	1006	"green"
Bijlmer-Centrum	2965	"green"
Bijlmer-Oost	7197	"orange"
Gaasperdam/Driemond	4097	"green"